轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
1,2017-08-19 02:15,0,雷加利斯,17,1-0,1-0,0,阿拉维斯,9,平/半,平/半,2,0.5/1
1,2017-08-19 04:15,0,巴伦西亚,12,1-0,1-0,1,拉斯帕尔马斯,14,平/半,平/半,2.5/3,1
1,2017-08-20 00:15,0,塞尔塔,13,2-3,1-1,0,皇家社会,6,平手,平手,2.5,1
1,2017-08-20 02:15,0,赫罗纳,西乙2,2-2,2-0,1,马德里竞技,3,半球,半球,2.5,1
1,2017-08-20 04:15,1,塞维利亚,4,1-1,1-1,0,西班牙人,8,半球,半球,2.5/3,1
1,2017-08-21 00:15,0,毕尔巴鄂竞技,7,0-0,0-0,1,赫塔菲,西乙3,半球,半球,2.5,1
1,2017-08-21 02:15,0,巴塞罗那,2,2-0,2-0,0,皇家贝蒂斯,15,一球,一球,3.5,1.5
1,2017-08-21 04:15,0,拉科鲁尼亚,16,0-3,0-2,1,皇家马德里,1,半/一,半/一,3/3.5,1/1.5
1,2017-08-22 02:15,0,莱万特,西乙1,1-0,0-0,0,比利亚雷亚尔,5,平手,平手,2/2.5,0.5/1
1,2017-08-22 04:00,0,马拉加,11,0-1,0-0,0,埃瓦尔,10,平/半,平/半,2/2.5,1
2,2017-08-26 02:15,0,皇家社会,3,3-0,3-0,0,比利亚雷亚尔,15,平手,平手,2/2.5,1
2,2017-08-26 04:00,0,皇家贝蒂斯,19,2-1,1-1,0,塞尔塔,14,平手,平手,2/2.5,1
2,2017-08-27 00:15,0,阿拉维斯,17,0-2,0-0,0,巴塞罗那,3,半/一,半/一,3,1/1.5
2,2017-08-27 02:15,0,赫罗纳,9,1-0,1-0,0,马拉加,15,平/半,平/半,2/2.5,1
2,2017-08-27 02:15,1,莱万特,6,2-2,1-2,0,拉科鲁尼亚,19,平手,平手,2/2.5,0.5/1
2,2017-08-27 04:15,0,拉斯帕尔马斯,16,1-5,0-2,0,马德里竞技,10,平/半,平/半,2.5,1
2,2017-08-28 00:15,1,埃瓦尔,7,0-1,0-1,0,毕尔巴鄂竞技,13,平手,平手,2/2.5,1
2,2017-08-28 00:15,0,西班牙人,11,0-1,0-1,0,雷加利斯,9,平/半,平/半,2,0.5/1
2,2017-08-28 02:15,0,赫塔菲,14,0-1,0-0,0,塞维利亚,12,平/半,平/半,2.5,1
