轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
1,2013-08-18 01:00,0,皇家社会,4,2-0,1-0,0,赫塔菲,10,平/半,平/半,2.5,1
1,2013-08-18 03:00,0,瓦拉多利德,14,1-2,1-1,0,毕尔巴鄂竞技,12,平手,平手,2.5,1
1,2013-08-18 05:00,0,巴伦西亚,5,1-0,0-0,0,马拉加,6,平/半,平/半,2.5/3,1
1,2013-08-19 01:00,0,巴塞罗那,1,7-0,6-0,0,莱万特,11,一/球半,一/球半,3.5/4,1.5/2
1,2013-08-19 03:00,0,皇家马德里,2,2-1,1-1,0,皇家贝蒂斯,7,一球,一球,3.5,1.5
1,2013-08-19 03:00,0,奥萨苏纳,16,1-2,0-2,0,格拉那达,15,平/半,平/半,2/2.5,0.5/1
1,2013-08-19 05:00,0,塞维利亚,9,1-3,1-1,0,马德里竞技,3,平手,平手,2.5,1
1,2013-08-20 02:00,0,巴列卡诺,8,3-0,2-0,0,艾尔切,西乙1,平/半,平/半,2.5,1
1,2013-08-20 04:00,0,阿尔梅里亚,西乙3,2-3,1-0,0,比利亚雷亚尔,西乙2,平手,平手,2/2.5,0.5/1
1,2013-08-20 04:00,0,塞尔塔,17,2-2,1-0,0,西班牙人,13,平/半,平/半,2/2.5,0.5/1
2,2013-08-24 02:00,0,赫塔菲,18,2-2,1-2,0,阿尔梅里亚,12,平/半,平/半,2.5,1
2,2013-08-24 04:00,0,毕尔巴鄂竞技,8,2-0,1-0,0,奥萨苏纳,14,平/半,平/半,2.5,1
2,2013-08-25 01:00,0,艾尔切,19,1-1,1-0,0,皇家社会,4,平手,平手,2.5,1
2,2013-08-25 03:00,0,西班牙人,11,3-1,1-1,0,巴伦西亚,9,平手,平手,2.5,1
2,2013-08-25 05:00,0,比利亚雷亚尔,5,2-1,1-1,0,瓦拉多利德,13,平/半,平/半,2.5,1
2,2013-08-26 01:00,0,马德里竞技,6,5-0,3-0,0,巴列卡诺,5,半球,半球,2.5/3,1/1.5
2,2013-08-26 03:00,0,莱万特,20,0-0,0-0,0,塞维利亚,18,平手,平手,2.5,1
2,2013-08-26 03:00,0,马拉加,17,0-1,0-1,0,巴塞罗那,4,半/一,半/一,3/3.5,1.5
2,2013-08-26 05:00,0,皇家贝蒂斯,15,1-2,0-0,1,塞尔塔,11,平/半,平/半,2.5,1
2,2013-08-27 03:00,0,格拉那达,8,0-1,0-1,0,皇家马德里,9,半/一,半/一,3/3.5,1.5
3,2013-08-31 05:00,1,巴列卡诺,11,1-2,0-1,0,莱万特,16,平/半,平/半,2.5,1
3,2013-08-31 05:00,1,阿尔梅里亚,12,2-2,2-1,0,艾尔切,15,平/半,平/半,2.5,1
3,2013-09-01 01:00,0,塞尔塔,8,1-1,1-0,0,格拉那达,10,平/半,平/半,2/2.5,1
3,2013-09-01 03:00,0,瓦拉多利德,18,1-0,0-0,0,赫塔菲,15,平/半,平/半,2.5,1
3,2013-09-01 05:00,0,奥萨苏纳,20,0-3,0-2,0,比利亚雷亚尔,4,平手,平手,2/2.5,1
3,2013-09-01 18:00,0,皇家马德里,5,3-1,2-0,0,毕尔巴鄂竞技,4,一球,一球,3.5/4,1.5/2
