,轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,全场让球,半场让球,全场大小,半场大小,客队红牌,客队名称,客队名次,主队得分,客队得分,主队半场得分,客队半场得分,主队结果,比赛日期
0,1,2013-08-18 01:00,0,皇家社会,4,2-0,1-0,平/半,平/半,2.5,1,0,赫塔菲,10,2,0,1,0,2,20130818
1,1,2013-08-18 03:00,0,瓦拉多利德,14,1-2,1-1,平手,平手,2.5,1,0,毕尔巴鄂竞技,12,1,2,1,1,1,20130818
2,1,2013-08-18 05:00,0,巴伦西亚,5,1-0,0-0,平/半,平/半,2.5/3,1,0,马拉加,6,1,0,0,0,2,20130818
3,1,2013-08-19 01:00,0,巴塞罗那,1,7-0,6-0,一/球半,一/球半,3.5/4,1.5/2,0,莱万特,11,7,0,6,0,2,20130819
4,1,2013-08-19 03:00,0,皇家马德里,2,2-1,1-1,一球,一球,3.5,1.5,0,皇家贝蒂斯,7,2,1,1,1,2,20130819
5,1,2013-08-19 03:00,0,奥萨苏纳,16,1-2,0-2,平/半,平/半,2/2.5,0.5/1,0,格拉那达,15,1,2,0,2,1,20130819
6,1,2013-08-19 05:00,0,塞维利亚,9,1-3,1-1,平手,平手,2.5,1,0,马德里竞技,3,1,3,1,1,1,20130819
7,1,2013-08-20 02:00,0,巴列卡诺,8,3-0,2-0,平/半,平/半,2.5,1,0,艾尔切,西乙1,3,0,2,0,2,20130820
8,1,2013-08-20 04:00,0,阿尔梅里亚,西乙3,2-3,1-0,平手,平手,2/2.5,0.5/1,0,比利亚雷亚尔,西乙2,2,3,1,0,1,20130820
9,1,2013-08-20 04:00,0,塞尔塔,17,2-2,1-0,平/半,平/半,2/2.5,0.5/1,0,西班牙人,13,2,2,1,0,0,20130820
10,2,2013-08-24 02:00,0,赫塔菲,18,2-2,1-2,平/半,平/半,2.5,1,0,阿尔梅里亚,12,2,2,1,2,0,20130824
11,2,2013-08-24 04:00,0,毕尔巴鄂竞技,8,2-0,1-0,平/半,平/半,2.5,1,0,奥萨苏纳,14,2,0,1,0,2,20130824
12,2,2013-08-25 01:00,0,艾尔切,19,1-1,1-0,平手,平手,2.5,1,0,皇家社会,4,1,1,1,0,0,20130825
13,2,2013-08-25 03:00,0,西班牙人,11,3-1,1-1,平手,平手,2.5,1,0,巴伦西亚,9,3,1,1,1,2,20130825
14,2,2013-08-25 05:00,0,比利亚雷亚尔,5,2-1,1-1,平/半,平/半,2.5,1,0,瓦拉多利德,13,2,1,1,1,2,20130825
15,2,2013-08-26 01:00,0,马德里竞技,6,5-0,3-0,半球,半球,2.5/3,1/1.5,0,巴列卡诺,5,5,0,3,0,2,20130826
16,2,2013-08-26 03:00,0,莱万特,20,0-0,0-0,平手,平手,2.5,1,0,塞维利亚,18,0,0,0,0,0,20130826
17,2,2013-08-26 03:00,0,马拉加,17,0-1,0-1,半/一,半/一,3/3.5,1.5,0,巴塞罗那,4,0,1,0,1,1,20130826
18,2,2013-08-26 05:00,0,皇家贝蒂斯,15,1-2,0-0,平/半,平/半,2.5,1,1,塞尔塔,11,1,2,0,0,1,20130826
19,2,2013-08-27 03:00,0,格拉那达,8,0-1,0-1,半/一,半/一,3/3.5,1.5,0,皇家马德里,9,0,1,0,1,1,20130827
20,3,2013-08-31 05:00,1,巴列卡诺,11,1-2,0-1,平/半,平/半,2.5,1,0,莱万特,16,1,2,0,1,1,20130831
21,3,2013-08-31 05:00,1,阿尔梅里亚,12,2-2,2-1,平/半,平/半,2.5,1,0,艾尔切,15,2,2,2,1,0,20130831
22,3,2013-09-01 01:00,0,塞尔塔,8,1-1,1-0,平/半,平/半,2/2.5,1,0,格拉那达,10,1,1,1,0,0,20130901
23,3,2013-09-01 03:00,0,瓦拉多利德,18,1-0,0-0,平/半,平/半,2.5,1,0,赫塔菲,15,1,0,0,0,2,20130901
24,3,2013-09-01 05:00,0,奥萨苏纳,20,0-3,0-2,平手,平手,2/2.5,1,0,比利亚雷亚尔,4,0,3,0,2,1,20130901
25,3,2013-09-01 18:00,0,皇家马德里,5,3-1,2-0,一球,一球,3.5/4,1.5/2,0,毕尔巴鄂竞技,4,3,1,2,0,2,20130901
26,3,2013-09-01 23:00,0,西班牙人,7,0-0,0-0,平/半,平/半,2.5,1,0,皇家贝蒂斯,18,0,0,0,0,0,20130901
27,3,2013-09-02 01:00,0,皇家社会,8,1-2,0-1,平手,平手,2.5,1,0,马德里竞技,3,1,2,0,1,1,20130902
28,3,2013-09-02 03:00,0,塞维利亚,16,2-2,1-1,平/半,平/半,2.5,1,1,马拉加,19,2,2,1,1,0,20130902
29,3,2013-09-02 03:00,0,巴伦西亚,12,2-3,2-3,半球,半球,3/3.5,1.5,0,巴塞罗那,2,2,3,2,3,1,20130902
30,4,2013-09-14 22:00,0,马德里竞技,2,4-2,2-1,半/一,半/一,3,1/1.5,0,阿尔梅里亚,14,4,2,2,1,2,20130914
31,4,2013-09-14 23:59,0,莱万特,10,0-0,0-0,平手,平手,2/2.5,1,0,皇家社会,8,0,0,0,0,0,20130914
32,4,2013-09-15 02:00,0,巴塞罗那,1,3-2,1-0,一球,一球,3.5,1.5,0,塞维利亚,15,3,2,1,0,2,20130915
