赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2003-2004,1,拉科鲁尼亚,93,19,13,3,3,36,15,21,0.684,0.158,0.158,1.89,0.79,42
2003-2004,2,皇家马德里,82,19,13,2,4,43,26,17,0.684,0.105,0.211,2.26,1.37,41
2003-2004,3,巴伦西亚,91,19,12,3,4,38,16,22,0.632,0.158,0.211,2.0,0.84,39
2003-2004,4,塞维利亚,86,19,12,2,5,30,15,15,0.632,0.105,0.263,1.58,0.79,38
2003-2004,5,马德里竞技,109,19,11,5,3,30,17,13,0.579,0.263,0.158,1.58,0.89,38
2003-2004,6,巴塞罗那,84,19,10,6,3,33,14,19,0.526,0.316,0.158,1.74,0.74,36
2003-2004,7,毕尔巴鄂竞技,92,19,10,5,4,32,20,12,0.526,0.263,0.211,1.68,1.05,35
2003-2004,8,比利亚雷亚尔,107,19,10,5,4,28,19,9,0.526,0.263,0.211,1.47,1.0,35
2003-2004,9,马拉加,102,19,10,4,5,35,27,8,0.526,0.211,0.263,1.84,1.42,34
2003-2004,10,阿尔巴切特,110,19,9,2,8,25,21,4,0.474,0.105,0.421,1.32,1.11,29
2003-2004,11,萨拉戈萨,111,19,7,7,5,25,20,5,0.368,0.368,0.263,1.32,1.05,28
2003-2004,12,皇家社会,106,19,7,7,5,24,22,2,0.368,0.368,0.263,1.26,1.16,28
2003-2004,13,瓦拉多利德,123,19,7,6,6,25,23,2,0.368,0.316,0.316,1.32,1.21,27
2003-2004,14,皇家贝蒂斯,96,19,6,9,4,22,20,2,0.316,0.474,0.211,1.16,1.05,27
2003-2004,15,西班牙人,100,19,8,2,9,24,26,-2,0.421,0.105,0.474,1.26,1.37,26
2003-2004,16,马洛卡,101,19,7,5,7,29,32,-3,0.368,0.263,0.368,1.53,1.68,26
2003-2004,17,奥萨苏纳,94,19,6,7,6,24,24,0,0.316,0.368,0.316,1.26,1.26,25
2003-2004,18,穆尔西亚,117,19,5,7,7,21,25,-4,0.263,0.368,0.368,1.11,1.32,22
2003-2004,19,桑坦德竞技,104,19,5,4,10,23,32,-9,0.263,0.211,0.526,1.21,1.68,19
2003-2004,20,塞尔塔,114,19,4,4,11,16,38,-22,0.211,0.211,0.579,0.84,2.0,16
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2004-2005,1,皇家马德里,82,19,15,1,3,43,12,31,0.789,0.053,0.158,2.26,0.63,46
2004-2005,2,比利亚雷亚尔,107,19,14,4,1,41,10,31,0.737,0.211,0.053,2.16,0.53,46
2004-2005,3,巴塞罗那,84,19,14,4,1,40,12,28,0.737,0.211,0.053,2.11,0.63,46
2004-2005,4,西班牙人,100,19,12,5,2,34,18,16,0.632,0.263,0.105,1.79,0.95,41
2004-2005,5,皇家贝蒂斯,96,19,12,5,2,36,22,14,0.632,0.263,0.105,1.89,1.16,41
2004-2005,6,马德里竞技,109,19,11,6,2,28,13,15,0.579,0.316,0.105,1.47,0.68,39
2004-2005,7,巴伦西亚,91,19,11,5,3,31,17,14,0.579,0.263,0.158,1.63,0.89,38
2004-2005,8,毕尔巴鄂竞技,92,19,11,4,4,39,24,15,0.579,0.211,0.211,2.05,1.26,37
2004-2005,9,赫塔菲,98,19,11,4,4,23,12,11,0.579,0.211,0.211,1.21,0.63,37
2004-2005,10,萨拉戈萨,111,19,11,3,5,35,25,10,0.579,0.158,0.263,1.84,1.32,36
2004-2005,11,塞维利亚,86,19,10,5,4,25,19,6,0.526,0.263,0.211,1.32,1.0,35
2004-2005,12,奥萨苏纳,94,19,9,6,4,28,24,4,0.474,0.316,0.211,1.47,1.26,33
2004-2005,13,皇家社会,106,19,9,4,6,21,24,-3,0.474,0.211,0.316,1.11,1.26,31
2004-2005,14,桑坦德竞技,104,19,8,6,5,25,23,2,0.421,0.316,0.263,1.32,1.21,30
2004-2005,15,马拉加,102,19,8,4,7,19,24,-5,0.421,0.211,0.368,1.0,1.26,28
2004-2005,16,拉科鲁尼亚,93,19,6,7,6,25,29,-4,0.316,0.368,0.316,1.32,1.53,25
2004-2005,17,莱万特,103,19,6,6,7,19,20,-1,0.316,0.316,0.368,1.0,1.05,24
2004-2005,18,马洛卡,101,19,6,5,8,28,31,-3,0.316,0.263,0.421,1.47,1.63,23
2004-2005,19,努曼西亚,87,19,4,9,6,19,23,-4,0.211,0.474,0.316,1.0,1.21,21
2004-2005,20,阿尔巴切特,110,19,4,7,8,17,22,-5,0.211,0.368,0.421,0.89,1.16,19
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2005-2006,1,巴塞罗那,84,19,15,3,1,45,15,30,0.789,0.158,0.053,2.37,0.79,48
2005-2006,2,塞维利亚,86,19,12,5,2,29,15,14,0.632,0.263,0.105,1.53,0.79,41
2005-2006,3,塞尔塔,114,19,13,0,6,25,13,12,0.684,0.0,0.316,1.32,0.68,39
2005-2006,4,奥萨苏纳,94,19,12,3,4,28,20,8,0.632,0.158,0.211,1.47,1.05,39
2005-2006,5,巴伦西亚,91,19,10,8,1,34,16,18,0.526,0.421,0.053,1.79,0.84,38
2005-2006,6,皇家马德里,82,19,11,4,4,40,21,19,0.579,0.211,0.211,2.11,1.11,37
2005-2006,7,比利亚雷亚尔,107,19,9,6,4,28,18,10,0.474,0.316,0.211,1.47,0.95,33
2005-2006,8,赫塔菲,98,19,8,7,4,32,24,8,0.421,0.368,0.211,1.68,1.26,31
2005-2006,9,皇家贝蒂斯,96,19,8,5,6,19,19,0,0.421,0.263,0.316,1.0,1.0,29
2005-2006,10,皇家社会,106,19,8,4,7,31,27,4,0.421,0.211,0.368,1.63,1.42,28
2005-2006,11,马德里竞技,109,19,7,6,6,21,18,3,0.368,0.316,0.316,1.11,0.95,27
2005-2006,12,毕尔巴鄂竞技,92,19,7,6,6,19,18,1,0.368,0.316,0.316,1.0,0.95,27
2005-2006,13,马洛卡,101,19,6,8,5,21,21,0,0.316,0.421,0.263,1.11,1.11,26
2005-2006,14,西班牙人,100,19,7,4,8,26,24,2,0.368,0.211,0.421,1.37,1.26,25
2005-2006,15,萨拉戈萨,111,19,6,6,7,26,26,0,0.316,0.316,0.368,1.37,1.37,24
2005-2006,16,阿拉维斯,137,19,6,6,7,20,24,-4,0.316,0.316,0.368,1.05,1.26,24
2005-2006,17,拉科鲁尼亚,93,19,6,5,8,19,22,-3,0.316,0.263,0.421,1.0,1.16,23
2005-2006,18,卡迪斯,143,19,4,8,7,22,25,-3,0.211,0.421,0.368,1.16,1.32,20
2005-2006,19,桑坦德竞技,104,19,4,6,9,18,26,-8,0.211,0.316,0.474,0.95,1.37,18
2005-2006,20,马拉加,102,19,3,5,11,16,25,-9,0.158,0.263,0.579,0.84,1.32,14
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2006-2007,1,巴塞罗那,84,19,14,5,0,41,12,29,0.737,0.263,0.0,2.16,0.63,47
2006-2007,2,塞维利亚,86,19,15,2,2,41,13,28,0.789,0.105,0.105,2.16,0.68,47
2006-2007,3,巴伦西亚,91,19,14,2,3,40,16,24,0.737,0.105,0.158,2.11,0.84,44
2006-2007,4,萨拉戈萨,111,19,12,5,2,33,16,17,0.632,0.263,0.105,1.74,0.84,41
2006-2007,5,皇家马德里,82,19,12,4,3,32,18,14,0.632,0.211,0.158,1.68,0.95,40
2006-2007,6,赫塔菲,98,19,9,7,3,21,11,10,0.474,0.368,0.158,1.11,0.58,34
2006-2007,7,比利亚雷亚尔,107,19,10,4,5,23,18,5,0.526,0.211,0.263,1.21,0.95,34
2006-2007,8,维尔瓦,116,19,9,4,6,27,23,4,0.474,0.211,0.316,1.42,1.21,31
2006-2007,9,拉科鲁尼亚,93,19,9,4,6,19,16,3,0.474,0.211,0.316,1.0,0.84,31
2006-2007,10,桑坦德竞技,104,19,9,4,6,25,25,0,0.474,0.211,0.316,1.32,1.32,31
2006-2007,11,马德里竞技,109,19,8,6,5,20,20,0,0.421,0.316,0.263,1.05,1.05,30
2006-2007,12,马洛卡,101,19,8,5,6,22,19,3,0.421,0.263,0.316,1.16,1.0,29
2006-2007,13,西班牙人,100,19,7,6,6,26,27,-1,0.368,0.316,0.316,1.37,1.42,27
2006-2007,14,莱万特,103,19,6,7,6,22,25,-3,0.316,0.368,0.316,1.16,1.32,25
2006-2007,15,奥萨苏纳,94,19,6,6,7,26,24,2,0.316,0.316,0.368,1.37,1.26,24
2006-2007,16,皇家社会,106,19,6,4,9,20,24,-4,0.316,0.211,0.474,1.05,1.26,22
2006-2007,17,毕尔巴鄂竞技,92,19,6,4,9,19,28,-9,0.316,0.211,0.474,1.0,1.47,22
