赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2003-2004,1,巴伦西亚,91,19,11,5,3,33,11,22,0.579,0.263,0.158,1.74,0.58,38
2003-2004,2,巴塞罗那,84,19,11,3,5,30,25,5,0.579,0.158,0.263,1.58,1.32,36
2003-2004,3,拉科鲁尼亚,93,19,8,5,6,24,19,5,0.421,0.263,0.316,1.26,1.0,29
2003-2004,4,皇家马德里,82,19,8,5,6,29,28,1,0.421,0.263,0.316,1.53,1.47,29
2003-2004,5,皇家贝蒂斯,96,19,7,4,8,24,23,1,0.368,0.211,0.421,1.26,1.21,25
2003-2004,6,马洛卡,101,19,8,1,10,25,34,-9,0.421,0.053,0.526,1.32,1.79,25
2003-2004,7,桑坦德竞技,104,19,6,6,7,25,31,-6,0.316,0.316,0.368,1.32,1.63,24
2003-2004,8,塞尔塔,114,19,5,8,6,32,30,2,0.263,0.421,0.316,1.68,1.58,23
2003-2004,9,奥萨苏纳,94,19,5,8,6,14,13,1,0.263,0.421,0.316,0.74,0.68,23
2003-2004,10,毕尔巴鄂竞技,92,19,5,6,8,21,29,-8,0.263,0.316,0.421,1.11,1.53,21
2003-2004,11,萨拉戈萨,111,19,6,2,11,21,35,-14,0.316,0.105,0.579,1.11,1.84,20
2003-2004,12,比利亚雷亚尔,107,19,5,4,10,19,30,-11,0.263,0.211,0.526,1.0,1.58,19
2003-2004,13,皇家社会,106,19,4,6,9,25,31,-6,0.211,0.316,0.474,1.32,1.63,18
2003-2004,14,阿尔巴切特,110,19,4,6,9,15,27,-12,0.211,0.316,0.474,0.79,1.42,18
2003-2004,15,塞维利亚,86,19,3,8,8,26,30,-4,0.158,0.421,0.421,1.37,1.58,17
2003-2004,16,马拉加,102,19,5,2,12,15,28,-13,0.263,0.105,0.632,0.79,1.47,17
2003-2004,17,西班牙人,100,19,5,2,12,24,38,-14,0.263,0.105,0.632,1.26,2.0,17
2003-2004,18,马德里竞技,109,19,4,5,10,21,36,-15,0.211,0.263,0.526,1.11,1.89,17
2003-2004,19,瓦拉多利德,123,19,3,5,11,21,33,-12,0.158,0.263,0.579,1.11,1.74,14
2003-2004,20,穆尔西亚,117,19,0,4,15,8,32,-24,0.0,0.211,0.789,0.42,1.68,4
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2004-2005,1,巴塞罗那,84,19,11,5,3,33,17,16,0.579,0.263,0.158,1.74,0.89,38
2004-2005,2,皇家马德里,82,19,10,4,5,28,20,8,0.526,0.211,0.263,1.47,1.05,34
2004-2005,3,拉科鲁尼亚,93,19,6,8,5,21,21,0,0.316,0.421,0.263,1.11,1.11,26
2004-2005,4,塞维利亚,86,19,7,4,8,19,22,-3,0.368,0.211,0.421,1.0,1.16,25
2004-2005,5,马拉加,102,19,7,2,10,21,24,-3,0.368,0.105,0.526,1.11,1.26,23
2004-2005,6,皇家贝蒂斯,96,19,4,9,6,26,28,-2,0.211,0.474,0.316,1.37,1.47,21
2004-2005,7,巴伦西亚,91,19,3,11,5,23,22,1,0.158,0.579,0.263,1.21,1.16,20
2004-2005,8,西班牙人,100,19,5,5,9,20,28,-8,0.263,0.263,0.474,1.05,1.47,20
2004-2005,9,比利亚雷亚尔,107,19,4,7,8,28,27,1,0.211,0.368,0.421,1.47,1.42,19
2004-2005,10,皇家社会,106,19,4,4,11,26,32,-6,0.211,0.211,0.579,1.37,1.68,16
2004-2005,11,马洛卡,101,19,4,4,11,14,32,-18,0.211,0.211,0.579,0.74,1.68,16
2004-2005,12,毕尔巴鄂竞技,92,19,3,5,11,20,30,-10,0.158,0.263,0.579,1.05,1.58,14
2004-2005,13,萨拉戈萨,111,19,3,5,11,17,32,-15,0.158,0.263,0.579,0.89,1.68,14
2004-2005,14,桑坦德竞技,104,19,4,2,13,16,35,-19,0.211,0.105,0.684,0.84,1.84,14
2004-2005,15,莱万特,103,19,3,4,12,20,38,-18,0.158,0.211,0.632,1.05,2.0,13
2004-2005,16,奥萨苏纳,94,19,3,4,12,18,41,-23,0.158,0.211,0.632,0.95,2.16,13
2004-2005,17,马德里竞技,109,19,2,5,12,12,21,-9,0.105,0.263,0.632,0.63,1.11,11
2004-2005,18,赫塔菲,98,19,1,7,11,15,34,-19,0.053,0.368,0.579,0.79,1.79,10
2004-2005,19,阿尔巴切特,110,19,2,3,14,16,34,-18,0.105,0.158,0.737,0.84,1.79,9
2004-2005,20,努曼西亚,87,19,2,2,15,11,38,-27,0.105,0.105,0.789,0.58,2.0,8
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2005-2006,1,巴塞罗那,84,19,10,4,5,35,20,15,0.526,0.211,0.263,1.84,1.05,34
2005-2006,2,皇家马德里,82,19,9,6,4,30,19,11,0.474,0.316,0.211,1.58,1.0,33
2005-2006,3,拉科鲁尼亚,93,19,9,5,5,28,23,5,0.474,0.263,0.263,1.47,1.21,32
2005-2006,4,巴伦西亚,91,19,9,4,6,24,17,7,0.474,0.211,0.316,1.26,0.89,31
2005-2006,5,奥萨苏纳,94,19,9,2,8,21,23,-2,0.474,0.105,0.421,1.11,1.21,29
2005-2006,6,塞维利亚,86,19,8,3,8,25,24,1,0.421,0.158,0.421,1.32,1.26,27
2005-2006,7,马德里竞技,109,19,6,7,6,24,19,5,0.316,0.368,0.316,1.26,1.0,25
2005-2006,8,塞尔塔,114,19,7,4,8,20,20,0,0.368,0.211,0.421,1.05,1.05,25
2005-2006,9,比利亚雷亚尔,107,19,5,9,5,22,21,1,0.263,0.474,0.263,1.16,1.11,24
2005-2006,10,赫塔菲,98,19,7,2,10,22,25,-3,0.368,0.105,0.526,1.16,1.32,23
2005-2006,11,萨拉戈萨,111,19,4,10,5,20,25,-5,0.211,0.526,0.263,1.05,1.32,22
2005-2006,12,桑坦德竞技,104,19,5,7,7,18,23,-5,0.263,0.368,0.368,0.95,1.21,22
2005-2006,13,毕尔巴鄂竞技,92,19,4,6,9,21,28,-7,0.211,0.316,0.474,1.11,1.47,18
2005-2006,14,马洛卡,101,19,4,5,10,16,30,-14,0.211,0.263,0.526,0.84,1.58,17
2005-2006,15,卡迪斯,143,19,4,4,11,14,27,-13,0.211,0.211,0.579,0.74,1.42,16
2005-2006,16,西班牙人,100,19,3,7,9,10,32,-22,0.158,0.368,0.474,0.53,1.68,16
2005-2006,17,阿拉维斯,137,19,3,6,10,15,30,-15,0.158,0.316,0.526,0.79,1.58,15
2005-2006,18,皇家贝蒂斯,96,19,2,7,10,15,32,-17,0.105,0.368,0.526,0.79,1.68,13
2005-2006,19,皇家社会,106,19,3,3,13,17,38,-21,0.158,0.158,0.684,0.89,2.0,12
2005-2006,20,马拉加,102,19,2,4,13,20,43,-23,0.105,0.211,0.684,1.05,2.26,10
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2006-2007,1,皇家马德里,82,19,11,3,5,34,22,12,0.579,0.158,0.263,1.79,1.16,36
2006-2007,2,马德里竞技,109,19,9,3,7,26,19,7,0.474,0.158,0.368,1.37,1.0,30
2006-2007,3,巴塞罗那,84,19,8,5,6,37,21,16,0.421,0.263,0.316,1.95,1.11,29
2006-2007,4,比利亚雷亚尔,107,19,8,4,7,25,26,-1,0.421,0.211,0.368,1.32,1.37,28
2006-2007,5,塞维利亚,86,19,6,6,7,23,22,1,0.316,0.316,0.368,1.21,1.16,24
2006-2007,6,维尔瓦,116,19,6,5,8,27,29,-2,0.316,0.263,0.421,1.42,1.53,23
2006-2007,7,奥萨苏纳,94,19,7,1,11,25,25,0,0.368,0.053,0.579,1.32,1.32,22
2006-2007,8,西班牙人,100,19,5,7,7,20,26,-6,0.263,0.368,0.368,1.05,1.37,22
2006-2007,9,巴伦西亚,91,19,6,4,9,17,26,-9,0.316,0.211,0.474,0.89,1.37,22
2006-2007,10,塞尔塔,114,19,6,3,10,19,28,-9,0.316,0.158,0.526,1.0,1.47,21
2006-2007,11,马洛卡,101,19,6,2,11,19,28,-9,0.316,0.105,0.579,1.0,1.47,20
2006-2007,12,萨拉戈萨,111,19,4,7,8,22,27,-5,0.211,0.368,0.421,1.16,1.42,19
2006-2007,13,桑坦德竞技,104,19,3,10,6,17,23,-6,0.158,0.526,0.316,0.89,1.21,19
2006-2007,14,皇家贝蒂斯,96,19,4,7,8,19,27,-8,0.211,0.368,0.421,1.0,1.42,19
2006-2007,15,赫塔菲,98,19,5,3,11,18,22,-4,0.263,0.158,0.579,0.95,1.16,18
2006-2007,16,毕尔巴鄂竞技,92,19,4,6,9,25,34,-9,0.211,0.316,0.474,1.32,1.79,18
2006-2007,17,莱万特,103,19,4,5,10,15,28,-13,0.211,0.263,0.526,0.79,1.47,17
2006-2007,18,拉科鲁尼亚,93,19,3,7,9,13,29,-16,0.158,0.368,0.474,0.68,1.53,16
2006-2007,19,皇家社会,106,19,2,7,10,12,23,-11,0.105,0.368,0.526,0.63,1.21,13
2006-2007,20,塔拉戈纳,119,19,3,3,13,11,33,-22,0.158,0.158,0.684,0.58,1.74,12
