赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2003-2004,1,巴伦西亚,0,38,23,8,7,71,27,44,0.605,0.211,0.184,1.87,0.71,77
2003-2004,2,巴塞罗那,0,38,21,9,8,63,39,24,0.553,0.237,0.211,1.66,1.03,72
2003-2004,3,拉科鲁尼亚,0,38,21,8,9,60,34,26,0.553,0.211,0.237,1.58,0.89,71
2003-2004,4,皇家马德里,0,38,21,7,10,72,54,18,0.553,0.184,0.263,1.89,1.42,70
2003-2004,5,毕尔巴鄂竞技,0,38,15,11,12,53,49,4,0.395,0.289,0.316,1.39,1.29,56
2003-2004,6,塞维利亚,0,38,15,10,13,56,45,11,0.395,0.263,0.342,1.47,1.18,55
2003-2004,7,马德里竞技,0,38,15,10,13,51,53,-2,0.395,0.263,0.342,1.34,1.39,55
2003-2004,8,比利亚雷亚尔,0,38,15,9,14,47,49,-2,0.395,0.237,0.368,1.24,1.29,54
2003-2004,9,皇家贝蒂斯,0,38,13,13,12,46,43,3,0.342,0.342,0.316,1.21,1.13,52
2003-2004,10,马拉加,0,38,15,6,17,50,55,-5,0.395,0.158,0.447,1.32,1.45,51
2003-2004,11,马洛卡,0,38,15,6,17,54,66,-12,0.395,0.158,0.447,1.42,1.74,51
2003-2004,12,奥萨苏纳,0,38,11,15,12,38,37,1,0.289,0.395,0.316,1.0,0.97,48
2003-2004,13,萨拉戈萨,0,38,13,9,16,46,55,-9,0.342,0.237,0.421,1.21,1.45,48
2003-2004,14,阿尔巴切特,0,38,13,8,17,40,48,-8,0.342,0.211,0.447,1.05,1.26,47
2003-2004,15,皇家社会,0,38,11,13,14,49,53,-4,0.289,0.342,0.368,1.29,1.39,46
2003-2004,16,桑坦德竞技,0,38,11,10,17,48,63,-15,0.289,0.263,0.447,1.26,1.66,43
2003-2004,17,西班牙人,0,38,13,4,21,48,64,-16,0.342,0.105,0.553,1.26,1.68,43
2003-2004,18,瓦拉多利德,0,38,10,11,17,46,56,-10,0.263,0.289,0.447,1.21,1.47,41
2003-2004,19,塞尔塔,0,38,9,12,17,48,68,-20,0.237,0.316,0.447,1.26,1.79,39
2003-2004,20,穆尔西亚,0,38,5,11,22,29,57,-28,0.132,0.289,0.579,0.76,1.5,26
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2013-2014,1,马德里竞技,3,38,28,6,4,77,26,51,0.737,0.158,0.105,2.03,0.68,90
2013-2014,2,巴塞罗那,1,38,27,6,5,100,33,67,0.711,0.158,0.132,2.63,0.87,87
2013-2014,3,皇家马德里,3,38,27,6,5,104,38,66,0.711,0.158,0.132,2.74,1.0,87
2013-2014,4,毕尔巴鄂竞技,4,38,20,10,8,66,39,27,0.526,0.263,0.211,1.74,1.03,70
2013-2014,5,塞维利亚,8,38,18,9,11,69,52,17,0.474,0.237,0.289,1.82,1.37,63
2013-2014,6,比利亚雷亚尔,4,38,17,8,13,60,44,16,0.447,0.211,0.342,1.58,1.16,59
2013-2014,7,皇家社会,1,38,16,11,11,62,55,7,0.421,0.289,0.289,1.63,1.45,59
2013-2014,8,巴伦西亚,4,38,13,10,15,51,53,-2,0.342,0.263,0.395,1.34,1.39,49
2013-2014,9,塞尔塔,4,38,14,7,17,49,54,-5,0.368,0.184,0.447,1.29,1.42,49
2013-2014,10,莱万特,9,38,12,12,14,35,43,-8,0.316,0.316,0.368,0.92,1.13,48
2013-2014,11,马拉加,9,38,12,9,17,39,46,-7,0.316,0.237,0.447,1.03,1.21,45
2013-2014,12,巴列卡诺,9,38,13,4,21,46,80,-34,0.342,0.105,0.553,1.21,2.11,43
2013-2014,13,西班牙人,7,38,11,9,18,41,51,-10,0.289,0.237,0.474,1.08,1.34,42
2013-2014,14,赫塔菲,8,38,11,9,18,35,54,-19,0.289,0.237,0.474,0.92,1.42,42
2013-2014,15,格拉那达,9,38,12,5,21,32,56,-24,0.316,0.132,0.553,0.84,1.47,41
2013-2014,16,艾尔切,6,38,9,13,16,30,50,-20,0.237,0.342,0.421,0.79,1.32,40
2013-2014,17,阿尔梅里亚,5,38,11,7,20,43,71,-28,0.289,0.184,0.526,1.13,1.87,40
