赛季,轮次,时间,主队红牌数,主队名称,主队ID,主队上轮名次,比分,半场比分,客队红牌数,客队名称,客队ID,客队上轮名次
2003-2004,1,2003-08-31 01:30,0,皇家马德里,82,,2-1,1-1,0,皇家贝蒂斯,96,
2003-2004,1,2003-08-31 01:30,0,西班牙人,100,,1-1,1-0,0,皇家社会,106,
2003-2004,1,2003-08-31 02:30,0,毕尔巴鄂竞技,92,,0-1,0-1,0,巴塞罗那,84,
2003-2004,1,2003-08-31 03:00,0,阿尔巴切特,110,,0-2,0-1,0,奥萨苏纳,94,
2003-2004,1,2003-08-31 03:00,0,马拉加,102,,0-0,0-0,0,比利亚雷亚尔,107,
2003-2004,1,2003-08-31 03:30,0,巴伦西亚,91,,1-1,0-1,0,瓦拉多利德,123,
2003-2004,1,2003-09-01 02:00,0,塞尔塔,114,,1-1,1-0,0,穆尔西亚,117,
2003-2004,1,2003-09-01 02:00,0,桑坦德竞技,104,,2-1,1-0,0,马洛卡,101,
2003-2004,1,2003-09-01 03:30,0,塞维利亚,86,,1-0,1-0,0,马德里竞技,109,
2003-2004,1,2003-09-01 03:30,0,萨拉戈萨,111,,0-1,0-0,0,拉科鲁尼亚,93,
2003-2004,2,2003-09-03 03:00,0,比利亚雷亚尔,107,,1-1,0-0,0,皇家马德里,82,
2003-2004,2,2003-09-03 03:30,0,奥萨苏纳,94,,0-1,0-0,0,巴伦西亚,91,
2003-2004,2,2003-09-03 03:45,0,皇家社会,106,,1-1,1-0,0,塞尔塔,114,
2003-2004,2,2003-09-03 06:05,0,巴塞罗那,84,,1-1,0-1,0,塞维利亚,86,
2003-2004,2,2003-09-04 01:30,0,瓦拉多利德,123,,1-0,1-0,0,马拉加,102,
2003-2004,2,2003-09-04 01:30,0,穆尔西亚,117,,1-1,1-1,0,桑坦德竞技,104,
2003-2004,2,2003-09-04 03:00,0,皇家贝蒂斯,96,,2-2,2-0,0,西班牙人,100,
2003-2004,2,2003-09-04 03:00,0,马洛卡,101,,2-0,0-0,0,萨拉戈萨,111,
2003-2004,2,2003-09-04 03:00,0,拉科鲁尼亚,93,,2-0,1-0,0,毕尔巴鄂竞技,92,
2003-2004,2,2003-09-04 03:30,0,马德里竞技,109,,1-0,0-0,0,阿尔巴切特,110,
2003-2004,3,2003-09-14 01:30,0,皇家马德里,82,,7-2,3-0,0,瓦拉多利德,123,
2003-2004,3,2003-09-14 03:30,0,塞尔塔,114,,0-2,0-1,0,皇家贝蒂斯,96,
2003-2004,3,2003-09-14 03:30,0,桑坦德竞技,104,,0-1,0-1,0,皇家社会,106,
2003-2004,3,2003-09-14 03:30,0,塞维利亚,86,,1-2,0-1,0,拉科鲁尼亚,93,
2003-2004,3,2003-09-14 23:00,0,奥萨苏纳,94,,1-0,1-0,0,马德里竞技,109,
2003-2004,3,2003-09-15 01:00,0,西班牙人,100,,1-2,1-1,0,比利亚雷亚尔,107,
2003-2004,3,2003-09-15 01:00,0,巴伦西亚,91,,1-0,1-0,0,马拉加,102,
2003-2004,3,2003-09-15 01:00,0,萨拉戈萨,111,,3-0,3-0,0,穆尔西亚,117,
2003-2004,3,2003-09-15 01:00,0,毕尔巴鄂竞技,92,,4-0,2-0,0,马洛卡,101,
2003-2004,3,2003-09-15 03:30,0,阿尔巴切特,110,,1-2,0-1,0,巴塞罗那,84,
2003-2004,4,2003-09-21 01:30,0,巴塞罗那,84,,1-1,0-0,0,奥萨苏纳,94,
2003-2004,4,2003-09-21 03:30,0,马德里竞技,109,,0-3,0-0,0,巴伦西亚,91,
2003-2004,4,2003-09-21 23:00,0,瓦拉多利德,123,,3-1,2-1,0,西班牙人,100,
2003-2004,4,2003-09-21 23:00,0,拉科鲁尼亚,93,,3-0,0-0,0,阿尔巴切特,110,
2003-2004,4,2003-09-21 23:00,0,马洛卡,101,,1-1,1-1,0,塞维利亚,86,
2003-2004,4,2003-09-21 23:00,0,比利亚雷亚尔,107,,1-1,0-0,0,塞尔塔,114,
2003-2004,4,2003-09-22 01:00,0,皇家贝蒂斯,96,,0-0,0-0,0,桑坦德竞技,104,
2003-2004,4,2003-09-22 01:00,0,皇家社会,106,,3-0,0-0,0,萨拉戈萨,111,
2003-2004,4,2003-09-22 02:00,0,穆尔西亚,117,,2-2,1-1,0,毕尔巴鄂竞技,92,
2003-2004,4,2003-09-22 03:30,0,马拉加,102,,1-3,0-1,0,皇家马德里,82,
2003-2004,5,2003-09-28 01:30,0,奥萨苏纳,94,,3-2,3-1,0,拉科鲁尼亚,93,
2003-2004,5,2003-09-28 01:30,0,塞尔塔,114,,3-2,0-1,0,瓦拉多利德,123,
2003-2004,5,2003-09-28 01:30,0,毕尔巴鄂竞技,92,,1-0,0-0,0,皇家社会,106,
2003-2004,5,2003-09-28 03:30,0,巴伦西亚,91,,2-0,1-0,0,皇家马德里,82,
2003-2004,5,2003-09-28 23:00,0,阿尔巴切特,110,,2-0,1-0,0,马洛卡,101,
2003-2004,5,2003-09-28 23:00,0,西班牙人,100,,1-2,0-1,0,马拉加,102,
2003-2004,5,2003-09-28 23:00,0,桑坦德竞技,104,,0-2,0-0,0,比利亚雷亚尔,107,
2003-2004,5,2003-09-28 23:00,0,萨拉戈萨,111,,0-1,0-0,0,皇家贝蒂斯,96,
2003-2004,5,2003-09-29 01:00,0,塞维利亚,86,,1-0,0-0,0,穆尔西亚,117,
2003-2004,5,2003-09-29 03:30,0,马德里竞技,109,,0-0,0-0,0,巴塞罗那,84,
2003-2004,6,2003-10-05 01:30,0,拉科鲁尼亚,93,,5-1,2-1,0,马德里竞技,109,
2003-2004,6,2003-10-05 01:30,0,比利亚雷亚尔,107,,1-1,1-1,0,萨拉戈萨,111,
2003-2004,6,2003-10-05 03:30,0,皇家贝蒂斯,96,,1-1,0-0,0,毕尔巴鄂竞技,92,
2003-2004,6,2003-10-05 23:00,0,瓦拉多利德,123,,0-4,0-1,0,桑坦德竞技,104,
2003-2004,6,2003-10-05 23:00,0,马拉加,102,,2-1,1-0,0,塞尔塔,114,
2003-2004,6,2003-10-05 23:00,0,马洛卡,101,,1-1,0-0,0,奥萨苏纳,94,
2003-2004,6,2003-10-05 23:00,0,穆尔西亚,117,,1-0,1-0,0,阿尔巴切特,110,
2003-2004,6,2003-10-05 23:00,0,皇家社会,106,,1-1,1-1,0,塞维利亚,86,
