赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2015-2016,1631,皮克,84,30,0,2593,2,0,2,13,6,8,1,213.99
2015-2016,1634,C.罗纳尔多,82,36,0,3185,29,6,35,227,98,37,11,287.42
2015-2016,2065,鲁本,93,15,0,1350,0,0,0,0,0,0,0,96.67
2015-2016,2072,纳瓦罗,93,35,0,2961,0,0,0,1,0,37,0,238.7
2015-2016,2081,伊涅斯塔,84,28,3,2247,1,0,1,23,6,38,0,202.2
2015-2016,2150,华金,96,30,8,1962,1,0,1,27,6,40,1,206.13
2015-2016,2163,胡安弗兰,109,35,1,3030,1,0,1,7,3,17,1,246.44
2015-2016,2186,拉米斯,131,23,2,1795,0,0,0,9,1,12,0,154.26
2015-2016,2205,乌纳姆诺,131,34,0,3060,0,0,0,0,0,7,2,223.04
2015-2016,2244,F.加比,109,35,1,2917,1,0,1,17,3,41,5,254.11
2015-2016,2426,奎利亚尔,992,33,0,2970,0,0,0,0,0,8,1,214.36
2015-2016,2435,莫里内罗,98,20,5,1191,0,0,0,5,1,7,0,128.47
2015-2016,2464,德尔加多,137,15,0,1350,1,0,1,2,1,6,0,102.92
2015-2016,4821,博内拉,107,14,4,973,0,0,0,3,1,5,0,89.8
2015-2016,4834,威尔马伦,84,10,4,506,1,0,1,3,3,7,2,69.51
2015-2016,8061,阿杜里茨,92,34,4,2777,17,3,20,96,49,68,6,250.53
2015-2016,12839,马丁内兹,100,26,3,2058,0,0,0,4,1,31,0,176.47
2015-2016,13638,伊赖索斯,982,37,0,3330,0,0,0,0,0,2,0,246.55
2015-2016,13725,卢卡维纳,107,18,4,1346,0,0,0,2,0,5,1,118.75
2015-2016,17690,罗萨莱斯,102,35,0,3071,0,0,0,18,3,35,1,243.14
2015-2016,20197,马斯切拉诺,84,32,1,2702,0,0,0,3,1,21,1,225.54
2015-2016,22082,帕雷哈,86,2,1,122,0,0,0,0,0,4,0,13.33
2015-2016,23978,巴拉甘,96,24,5,1666,0,0,0,0,0,20,0,157.36
2015-2016,24060,托雷斯,109,30,13,1715,11,0,11,57,23,34,0,208.82
2015-2016,24067,梅西,84,33,2,2729,23,3,26,157,75,61,12,278.46
2015-2016,24079,埃斯库德罗,92,31,4,2385,7,0,7,76,20,78,2,223.86
2015-2016,24104,S.拉莫斯,82,23,0,1953,2,0,2,19,4,26,0,164.27
2015-2016,24106,塞尔吉奥,114,31,1,2725,0,0,0,0,0,1,0,201.85
2015-2016,24124,阿戈拉特,106,36,9,2379,2,1,3,19,9,54,1,242.47
2015-2016,24334,P.洛佩斯,103,17,1,1299,1,0,1,6,2,21,0,111.94
2015-2016,24366,本泽马,82,27,1,1995,24,0,24,98,52,21,4,207.49
2015-2016,24823,西奎埃拉,109,15,0,1188,0,0,0,6,1,14,0,102.67
2015-2016,24923,贝拉,106,35,3,2765,5,0,5,59,20,74,1,238.01
2015-2016,25358,莫德里奇,82,32,1,2629,2,0,2,34,10,44,6,235.35
2015-2016,25932,贝尔,82,23,2,1740,19,0,19,81,36,27,4,186.18
2015-2016,26019,菲利佩·路易斯,109,32,0,2880,1,0,1,9,2,31,2,243.13
2015-2016,26119,阿丹,96,36,0,3213,0,0,0,0,0,4,4,244.61
2015-2016,26120,托里斯,102,23,1,1958,0,0,0,1,0,6,0,157.02
2015-2016,26122,索里亚诺,107,31,3,2593,2,3,5,25,9,19,4,221.55
2015-2016,26124,贝尼亚特,92,36,4,2900,1,0,1,29,9,54,1,253.46
2015-2016,26290,埃尔扎尔,992,30,13,1706,2,0,2,28,13,32,0,195.58
2015-2016,26358,马塞洛,82,29,1,2473,2,0,2,19,4,34,2,216.98
2015-2016,26641,B.马基尔,98,20,5,1376,1,0,1,12,4,19,0,133.66
2015-2016,26777,L.苏亚雷斯,84,35,0,3150,37,3,40,138,71,59,9,280.07
2015-2016,26883,加梅罗,109,31,9,2084,12,4,16,72,40,18,2,212.92
2015-2016,26990,拉基蒂奇,84,36,6,2580,7,0,7,45,14,50,0,257.81
2015-2016,27083,克罗斯,82,32,0,2745,1,0,1,20,4,47,0,234.68
2015-2016,27157,格拉内罗,100,15,6,849,0,0,0,6,3,15,0,100.51
2015-2016,27159,G.卡斯特罗,102,23,7,1399,1,0,1,21,8,23,1,157.11
2015-2016,27162,莱昂,131,30,7,1850,2,0,2,46,10,32,1,199.97
2015-2016,27283,苏塞塔,92,28,6,1921,3,0,3,25,10,30,0,195.08
2015-2016,27287,艾泰美,991,31,1,2711,0,0,0,9,2,12,2,216.77
2015-2016,27651,巴内加,86,25,5,1736,4,1,5,38,18,44,4,179.64
2015-2016,28061,卡路士马天尼斯,106,10,4,536,0,0,0,3,0,6,1,68.09
2015-2016,28065,阿吉雷切,106,16,2,1174,13,0,13,46,22,22,2,113.44
2015-2016,28538,加西亚,991,19,1,1610,2,0,2,8,4,15,1,135.02
2015-2016,28686,巴利祖,91,33,3,2734,6,2,8,46,20,79,3,236.13
2015-2016,28717,阿森霍,107,4,0,360,0,0,0,0,0,1,0,27.23
2015-2016,28801,桑切斯,100,29,1,2345,1,0,1,24,8,35,3,197.04
2015-2016,28803,布茨克斯,84,35,1,2907,0,0,0,6,2,66,1,254
2015-2016,28823,伊图拉斯佩,92,16,9,697,0,0,0,3,1,6,1,106.26
2015-2016,28881,A.干沙里斯,102,32,6,2255,5,0,5,42,17,19,1,209.64
2015-2016,28979,皮亚蒂,100,21,12,814,0,0,0,11,4,38,0,133.52
2015-2016,29027,凯科,102,29,2,2339,3,0,3,35,13,58,1,201.5
2015-2016,29033,巴伦齐亚加,92,34,1,2906,0,0,0,8,0,24,1,234.64
2015-2016,29034,阿德里安·洛佩斯,93,16,6,791,4,0,4,8,6,8,0,106.24
2015-2016,29044,瓜伊塔,98,38,0,3420,0,0,0,0,0,2,0,252.35
2015-2016,30366,阿尔巴,84,31,2,2591,0,0,0,7,2,17,0,218.4
2015-2016,30367,P.迪奥普,100,30,1,2496,3,0,3,22,8,53,1,207.01
2015-2016,30417,W.梅巴拉克,137,19,9,923,1,0,1,19,6,29,0,123.7
2015-2016,30477,莫莫,991,23,8,1385,0,0,0,15,5,32,0,156.39
2015-2016,30828,卡拉,98,22,1,1910,1,0,1,5,1,22,1,148.92
2015-2016,30830,贝尔纳多,982,16,0,1389,1,0,1,14,6,9,1,113.74
2015-2016,30833,迪拉比尔拿,106,15,1,1248,0,0,0,4,0,15,1,103.74
2015-2016,31317,恩松齐,86,28,6,1868,3,0,3,19,9,14,2,192.69
2015-2016,31797,费尔南德斯,107,37,0,3330,0,0,0,0,0,8,2,241.38
2015-2016,31866,M.柯古斯圖,109,28,2,2208,1,0,1,13,4,25,0,195.09
2015-2016,34695,图兰,84,18,9,814,2,0,2,11,4,15,0,120.82
2015-2016,35563,卡里索,86,14,3,1049,1,0,1,7,3,6,0,94.71
2015-2016,36798,纳瓦斯,82,34,0,3060,0,0,0,0,0,5,0,241.83
2015-2016,40851,科隆.德里,86,27,11,1657,1,0,1,25,3,16,1,181.17
2015-2016,40861,沃斯,114,36,5,2703,2,0,2,50,12,40,2,246.4
2015-2016,48835,卡纳莱斯,106,16,5,902,0,0,0,24,5,14,0,101.07
2015-2016,49459,干贵士,131,26,8,1625,3,0,3,35,10,17,2,170.62
2015-2016,50550,奥雷利亚纳,91,33,0,2936,6,1,7,77,24,91,2,234.44
2015-2016,58193,胡安.卡洛斯,102,19,5,1271,1,0,1,15,5,20,1,127.75
2015-2016,60320,博维达,92,23,8,1462,0,0,0,5,0,9,2,157.51
2015-2016,62151,博格斯,93,24,3,1935,3,0,3,21,8,15,1,163.96
2015-2016,62348,佩雷斯,992,31,1,2485,0,0,0,17,3,32,1,212.21
2015-2016,62490,戈丁,109,31,0,2676,1,0,1,26,6,29,4,232.87
2015-2016,62546,莫利纳,98,23,13,951,1,0,1,14,6,23,0,143.56
2015-2016,65712,阿布杜,98,17,9,971,0,0,0,8,1,7,0,114.68
2015-2016,66812,穆尼亚因,92,20,7,1020,2,0,2,22,8,37,0,133.26
2015-2016,66817,拉肯,98,31,0,2664,0,0,0,14,0,33,0,206.8
2015-2016,66841,丰塔斯,114,7,1,541,1,0,1,2,1,2,0,48.21
2015-2016,67413,特尔施特根,84,7,1,542,0,0,0,0,0,0,0,45.39
2015-2016,67427,科克,109,35,1,2972,5,0,5,43,12,51,3,261.68
2015-2016,67909,西德内,93,33,0,2897,0,0,0,6,0,20,1,230.65
2015-2016,67937,圣何塞,92,34,4,2761,2,0,2,26,6,22,2,239.87
2015-2016,67959,鲁伊斯,107,35,3,2988,0,0,0,4,1,13,1,241.01
2015-2016,68640,贝奥夫,992,10,4,506,1,0,1,11,4,6,0,63.79
